height_over_sea_level,fall,net,fall_1,flow,power_of_hydroelectrical_turbine
624,89.16,89.765,3.5,2512.85,2197888375.86
628,93.16,93.765,3.5,2583.79,2361324647.4839997
602,67.84,66.415,6.5,3748.77,2494845422.208
599,64.84,63.415,6.5,3520.65,2239416460.26
630,94.69,93.54,8.0,6673.84,6199389373.176
620,84.89,84.665,6.0,4533.31,3775208648.6790004
601,66.89,65.665,6.0,3402.31,2232564860.979
622,88.21,87.935,3.0,2029.03,1755801023.103
599,64.99,64.165,5.0,2702.84,1723200777.396
611,75.89,75.665,6.0,4047.41,3013219439.4690003
591,56.94,55.92,5.5,2506.19,1399911118.8660002
591,56.99,56.165,5.0,2272.25,1270351124.775
598,63.94,62.92,5.5,2930.92,1838423673.2879999
618,83.04,83.365,4.5,3196.87,2604241911.888
609,73.89,73.665,6.0,3934.63,2852059442.9670005
608,72.79,72.14,7.0,4498.27,3212079209.0730004
609,75.21,74.935,3.0,1753.19,1293521289.219
614,79.04,79.365,4.5,3050.21,2365079150.3040004
628,92.79,92.14,7.0,5785.19,5266084322.781
608,72.94,72.92,5.5,3533.24,2528179496.1359997
625,89.69,88.54,8.0,6318.53,5559414855.417
603,69.1,68.55,4.0,2260.59,1532388403.89
611,75.84,75.415,6.5,4386.78,3263722206.9119997
620,84.69,83.54,8.0,5950.95,4944102223.455
628,92.84,92.415,6.5,5370.96,4891657677.984
617,82.16,82.765,3.5,2342.83,1888296614.568
597,63.04,62.365,4.5,2315.89,1432198251.9359999
626,90.89,90.665,6.0,4838.78,4314405766.302
595,60.84,59.415,6.5,3229.58,1927543819.032
627,92.1,92.55,4.0,3033.93,2741158788.9299994
598,63.79,62.14,7.0,3664.19,2292976451.7809997
625,91.21,90.935,3.0,2069.21,1851467238.621
622,86.74,85.84,7.5,5775.22,4914246737.268
630,94.84,94.415,6.5,5471.25,5090343763.5
612,76.74,75.84,7.5,5062.02,3810786859.188
615,79.74,78.84,7.5,5286.39,4135275405.6660004
608,74.21,73.935,3.0,1729.06,1258755852.9059997
623,87.74,86.84,7.5,5843.72,5029861609.368
599,64.89,63.665,6.0,3263.81,2077646469.129
596,61.79,60.14,7.0,3511.37,2128451688.0629997
611,76.16,76.765,3.5,2176.83,1626374127.168
624,89.1,89.55,4.0,2956.54,2584225874.3399997
591,56.79,55.14,7.0,2915.86,1624454473.0140002
625,89.74,88.84,7.5,5975.71,5260712713.073999
612,76.79,76.14,7.0,4768.88,3592444515.9120007
593,58.79,57.14,7.0,3243.23,1870467713.577
602,67.89,66.665,6.0,3474.88,2314273207.392
601,67.1,66.55,4.0,2182.38,1436553817.3799999
593,58.84,57.415,6.5,3076.83,1776009043.3320003
613,77.99,78.165,5.0,3410.17,2609059342.923
594,60.04,59.365,4.5,2189.37,1289522290.7879999
602,68.16,67.765,3.5,1896.03,1267779701.088
613,78.16,78.765,3.5,2232.56,1711814486.9759998
606,70.69,69.54,8.0,4719.66,3272937428.574
628,93.1,93.55,4.0,3056.77,2791781665.47
628,92.99,93.165,5.0,4003.13,3651782885.847
613,77.59,75.84,9.0,5748.63,4375615138.677001
601,66.69,64.54,8.0,4286.12,2804103572.8679996
607,71.99,72.165,5.0,3128.95,2209733014.0049996
596,62.04,61.365,4.5,2266.22,1379249593.128
