Epochs,Training Loss,Validation Loss
1.0,257210.73231151217,64101.72157371147
2.0,257209.89839846463,64101.51008758968
3.0,257209.62171315207,64101.43991827804
4.0,257209.48361083382,64101.404894573505
5.0,257209.40082310518,64101.38389903194
6.0,257209.34566006102,64101.36990930169
7.0,257209.3062708825,64101.3599199331
8.0,257209.27673544994,64101.35242954271
9.0,257209.25376685857,64101.346604548875
10.0,257209.23539386626,64101.341945030676
11.0,257209.2203624788,64101.33813296663
12.0,257209.20783692328,64101.33495639902
13.0,257209.19723871184,64101.33226861906
14.0,257209.1881547064,64101.32996485231
15.0,257209.18028198197,64101.32796827488
16.0,257209.17339337012,64101.326221275245
17.0,257209.16731517023,64101.32467980155
18.0,257209.1619122907,64101.32330959392
19.0,257209.1570780891,64101.3220836068
20.0,257209.15272725368,64101.32098020484
21.0,257209.14879072737,64101.319981874476
22.0,257209.14521201007,64101.319074287014
23.0,257209.1419444295,64101.31824560596
24.0,257209.13894909344,64101.31748596791
25.0,257209.13619333177,64101.31678708768
26.0,257209.13364950224,64101.316141954914
27.0,257209.13129405773,64101.31554459786
28.0,257209.1291068151,64101.31498989796
29.0,257209.12707037522,64101.31447344268
30.0,257209.12516965906,64101.31399140783
31.0,257209.12339153254,64101.31354046275
32.0,257209.12172450495,64101.31311769297
33.0,257209.12015847684,64101.31272053744
34.0,257209.11868453835,64101.312346736275
35.0,257209.11729479587,64101.311994288015
36.0,257209.1159822351,64101.311661413456
37.0,257209.11474059784,64101.31134652574
38.0,257209.11356428696,64101.31104820508
39.0,257209.1124482773,64101.310765177295
40.0,257209.1113880473,64101.31049629565
41.0,257209.11037951623,64101.3102405252
42.0,257209.10941899175,64101.30999692957
43.0,257209.10850312584,64101.30976465955
44.0,257209.10762887317,64101.30954294304
45.0,257209.10679346108,64101.30933107667
46.0,257209.10599435607,64101.309128418194
47.0,257209.10522924177,64101.30893437989
48.0,257209.10449599405,64101.308748423166
49.0,257209.1037926622,64101.30857005337
50.0,257209.1031174518,64101.30839881534
51.0,257209.1024687089,64101.308234289645
52.0,257209.1018449071,64101.30807608917
53.0,257209.10124463472,64101.30792385589
54.0,257209.10066658488,64101.30777725847
55.0,257209.10010954592,64101.30763598952
56.0,257209.09957239224,64101.30749976366
57.0,257209.09905407764,64101.307368315516
58.0,257209.09855362808,64101.30724139803
59.0,257209.09807013566,64101.307118780904
60.0,257209.09760275192,64101.30700024919
61.0,257209.09715068527,64101.30688560196
62.0,257209.0967131951,64101.30677465136
63.0,257209.09628958654,64101.306667221346
64.0,257209.09587921,64101.306563146994
65.0,257209.09548145422,64101.30646227346
66.0,257209.0950957467,64101.30636445527
67.0,257209.094721547,64101.30626955569
68.0,257209.09435834835,64101.30617744593
69.0,257209.09400567203,64101.30608800478
70.0,257209.0936630673,64101.30600111785
71.0,257209.09333010897,64101.30591667729
72.0,257209.0930063949,64101.305834581195
73.0,257209.09269154564,64101.30575473324
74.0,257209.09238520137,64101.3056770423
75.0,257209.0920870233,64101.30560142216
76.0,257209.09179668763,64101.30552779103
77.0,257209.09151388955,64101.30545607145
78.0,257209.09123833894,64101.30538618995
79.0,257209.0909697613,64101.3053180768
80.0,257209.09070789497,64101.30525166561
81.0,257209.09045249104,64101.30518689341
82.0,257209.09020331336,64101.30512370028
83.0,257209.0899601372,64101.305062029096
84.0,257209.08972274794,64101.305001825596
85.0,257209.0894909416,64101.304943037896
86.0,257209.0892645237,64101.304885616715
87.0,257209.08904330796,64101.30482951489
88.0,257209.08882711778,64101.30477468751
89.0,257209.08861578288,64101.304721091576
90.0,257209.08840914245,64101.30466868605
91.0,257209.08820704097,64101.304617431786
92.0,257209.08800933108,64101.30456729114
93.0,257209.08781587053,64101.304518228266
94.0,257209.08762652433,64101.304470208765
95.0,257209.0874411624,64101.30442319968
96.0,257209.0872596604,64101.30437716949
97.0,257209.08708189847,64101.30433208788
98.0,257209.0869077628,64101.30428792585
99.0,257209.08673714308,64101.304244655556
100.0,257209.0865699342,64101.30420225022
101.0,257209.08640603517,64101.30416068415
102.0,257209.0862453475,64101.30411993273
103.0,257209.08608777876,64101.30407997215
104.0,257209.08593323853,64101.30404077969
105.0,257209.08578164034,64101.30400233336
106.0,257209.08563290106,64101.303964612096
107.0,257209.08548694072,64101.30392759552
108.0,257209.08534368238,64101.303891264135
109.0,257209.08520305066,64101.303855599
110.0,257209.08506497438,64101.30382058198
111.0,257209.08492938554,64101.30378619561
112.0,257209.084796216,64101.30375242295
113.0,257209.08466540265,64101.30371924773
114.0,257209.084536883,64101.303686654246
115.0,257209.08441059716,64101.303654627336
116.0,257209.08428648787,64101.30362315232
117.0,257209.08416449899,64101.30359221509
118.0,257209.08404457668,64101.30356180191
119.0,257209.08392666845,64101.303531899626
120.0,257209.08381072455,64101.30350249551
121.0,257209.08369669618,64101.30347357713
122.0,257209.08358453627,64101.303445132544
123.0,257209.0834741992,64101.303417150295
124.0,257209.08336564072,64101.303389619105
125.0,257209.08325881825,64101.30336252823
126.0,257209.08315369033,64101.30333586707
127.0,257209.08305021757,64101.30330962562
128.0,257209.08294836062,64101.30328379394
129.0,257209.0828480819,64101.303258362605
130.0,257209.0827493452,64101.30323332229
131.0,257209.08265211512,64101.303208664096
132.0,257209.08255635755,64101.30318437928
133.0,257209.08246203914,64101.30316045949
134.0,257209.08236912757,64101.30313689651
135.0,257209.08227759198,64101.30311368243
136.0,257209.082187402,64101.30309080958
137.0,257209.08209852807,64101.30306827049
138.0,257209.08201094094,64101.303046057845
139.0,257209.08192461354,64101.30302416464
140.0,257209.08183951897,64101.303002584034
141.0,257209.08175563058,64101.30298130945
142.0,257209.08167292317,64101.30296033426
143.0,257209.0815913721,64101.30293965233
144.0,257209.08151095317,64101.30291925749
145.0,257209.08143164267,64101.30289914381
146.0,257209.08135341827,64101.302879305535
147.0,257209.08127625738,64101.30285973701
148.0,257209.08120013837,64101.3028404328
149.0,257209.08112504132,64101.30282138757
150.0,257209.08105094457,64101.30280259614
151.0,257209.08097782885,64101.302784053514
152.0,257209.08090567475,64101.30276575468
153.0,257209.08083446344,64101.30274769498
154.0,257209.08076417624,64101.302729869676
155.0,257209.0806947954,64101.302712274264
156.0,257209.0806263039,64101.3026949043
157.0,257209.08055868442,64101.30267775551
158.0,257209.0804919205,64101.30266082367
159.0,257209.08042599572,64101.30264410476
160.0,257209.0803608944,64101.30262759466
