Epochs,Training Loss,Validation Loss
1.0,1.9256339021608782e+21,4.992349732999162e+20
2.0,1.9256339021608782e+21,4.992349732999162e+20
3.0,1.9256339021608782e+21,4.992349732999162e+20
4.0,1.9256339021608782e+21,4.992349732999162e+20
5.0,1.9256339021608782e+21,4.992349732999162e+20
6.0,1.9256339021608782e+21,4.992349732999162e+20
7.0,1.9256339021608782e+21,4.992349732999162e+20
8.0,1.9256339021608782e+21,4.992349732999162e+20
9.0,1.9256339021608782e+21,4.992349732999162e+20
10.0,1.9256339021608782e+21,4.992349732999162e+20
11.0,1.9256339021608782e+21,4.992349732999162e+20
12.0,1.9256339021608782e+21,4.992349732999162e+20
13.0,1.9256339021608782e+21,4.992349732999162e+20
14.0,1.9256339021608782e+21,4.992349732999162e+20
15.0,1.9256339021608782e+21,4.992349732999162e+20
16.0,1.9256339021608782e+21,4.992349732999162e+20
17.0,1.9256339021608782e+21,4.992349732999162e+20
18.0,1.9256339021608782e+21,4.992349732999162e+20
19.0,1.9256339021608782e+21,4.992349732999162e+20
20.0,1.9256339021608782e+21,4.992349732999162e+20
21.0,1.9256339021608782e+21,4.992349732999162e+20
22.0,1.9256339021608782e+21,4.992349732999162e+20
23.0,1.9256339021608782e+21,4.992349732999162e+20
24.0,1.9256339021608782e+21,4.992349732999162e+20
25.0,1.9256339021608782e+21,4.992349732999162e+20
26.0,1.9256339021608782e+21,4.992349732999162e+20
27.0,1.9256339021608782e+21,4.992349732999162e+20
28.0,1.9256339021608782e+21,4.992349732999162e+20
29.0,1.9256339021608782e+21,4.992349732999162e+20
30.0,1.9256339021608782e+21,4.992349732999162e+20
31.0,1.9256339021608782e+21,4.992349732999162e+20
32.0,1.9256339021608782e+21,4.992349732999162e+20
33.0,1.9256339021608782e+21,4.992349732999162e+20
34.0,1.9256339021608782e+21,4.992349732999162e+20
35.0,1.9256339021608782e+21,4.992349732999162e+20
36.0,1.9256339021608782e+21,4.992349732999162e+20
37.0,1.9256339021608782e+21,4.992349732999162e+20
38.0,1.9256339021608782e+21,4.992349732999162e+20
39.0,1.9256339021608782e+21,4.992349732999162e+20
40.0,1.9256339021608782e+21,4.992349732999162e+20
41.0,1.9256339021608782e+21,4.992349732999162e+20
42.0,1.9256339021608782e+21,4.992349732999162e+20
43.0,1.9256339021608782e+21,4.992349732999162e+20
44.0,1.9256339021608782e+21,4.992349732999162e+20
45.0,1.9256339021608782e+21,4.992349732999162e+20
46.0,1.9256339021608782e+21,4.992349732999162e+20
47.0,1.9256339021608782e+21,4.992349732999162e+20
48.0,1.9256339021608782e+21,4.992349732999162e+20
49.0,1.9256339021608782e+21,4.992349732999162e+20
50.0,1.9256339021608782e+21,4.992349732999162e+20
51.0,1.9256339021608782e+21,4.992349732999162e+20
52.0,1.9256339021608782e+21,4.992349732999162e+20
53.0,1.9256339021608782e+21,4.992349732999162e+20
54.0,1.9256339021608782e+21,4.992349732999162e+20
55.0,1.9256339021608782e+21,4.992349732999162e+20
56.0,1.9256339021608782e+21,4.992349732999162e+20
57.0,1.9256339021608782e+21,4.992349732999162e+20
58.0,1.9256339021608782e+21,4.992349732999162e+20
59.0,1.9256339021608782e+21,4.992349732999162e+20
60.0,1.9256339021608782e+21,4.992349732999162e+20
61.0,1.9256339021608782e+21,4.992349732999162e+20
62.0,1.9256339021608782e+21,4.992349732999162e+20
63.0,1.9256339021608782e+21,4.992349732999162e+20
64.0,1.9256339021608782e+21,4.992349732999162e+20
65.0,1.9256339021608782e+21,4.992349732999162e+20
66.0,1.9256339021608782e+21,4.992349732999162e+20
67.0,1.9256339021608782e+21,4.992349732999162e+20
68.0,1.9256339021608782e+21,4.992349732999162e+20
69.0,1.9256339021608782e+21,4.992349732999162e+20
70.0,1.9256339021608782e+21,4.992349732999162e+20
71.0,1.9256339021608782e+21,4.992349732999162e+20
72.0,1.9256339021608782e+21,4.992349732999162e+20
73.0,1.9256339021608782e+21,4.992349732999162e+20
74.0,1.9256339021608782e+21,4.992349732999162e+20
75.0,1.9256339021608782e+21,4.992349732999162e+20
76.0,1.9256339021608782e+21,4.992349732999162e+20
77.0,1.9256339021608782e+21,4.992349732999162e+20
78.0,1.9256339021608782e+21,4.992349732999162e+20
79.0,1.9256339021608782e+21,4.992349732999162e+20
80.0,1.9256339021608782e+21,4.992349732999162e+20
81.0,1.9256339021608782e+21,4.992349732999162e+20
82.0,1.9256339021608782e+21,4.992349732999162e+20
83.0,1.9256339021608782e+21,4.992349732999162e+20
84.0,1.9256339021608782e+21,4.992349732999162e+20
85.0,1.9256339021608782e+21,4.992349732999162e+20
