Epochs,Training Loss,Validation Loss
1.0,17108.742704288954,4669.2723838455695
2.0,17107.842379979633,4669.036999886713
3.0,17107.54948145844,4668.960423662269
4.0,17107.404619436293,4668.922550582504
5.0,17107.318266343933,4668.899974245491
6.0,17107.26095214213,4668.884989911234
7.0,17107.220146409676,4668.874321590248
8.0,17107.189618909815,4668.86634043283
9.0,17107.165923011315,4668.860145343091
10.0,17107.14699763205,4668.855197466945
11.0,17107.13153474062,4668.851154829766
12.0,17107.118664295445,4668.847789966065
13.0,17107.10778512298,4668.844945703829
14.0,17107.098468529322,4668.842509964528
15.0,17107.0904005972,4668.840400677069
16.0,17107.08334619184,4668.838556367399
17.0,17107.077125710628,4668.836930079923
18.0,17107.071599606683,4668.835485331284
19.0,17107.066657814146,4668.834193345693
20.0,17107.062212355035,4668.833031122059
21.0,17107.0581920643,4668.831980054892
22.0,17107.05453875743,4668.83102493237
23.0,17107.05120440079,4668.830153196482
24.0,17107.048148990445,4668.829354388578
25.0,17107.045338942302,4668.828619728382
26.0,17107.04274585401,4668.827941790354
27.0,17107.040345542897,4668.827314252146
28.0,17107.038117290547,4668.826731697117
29.0,17107.036043244127,4668.826189457786
30.0,17107.03410793734,4668.825683490655
31.0,17107.032297904934,4668.825210275338
32.0,17107.03060136901,4668.8247667326095
33.0,17107.029007982936,4668.824350157441
34.0,17107.02750862031,4668.8239581638245
35.0,17107.026095200312,4668.823588639094
36.0,17107.024760542085,4668.8232397058855
37.0,17107.023498242965,4668.82290969027
38.0,17107.022302575748,4668.822597094937
39.0,17107.021168402,4668.822300576488
40.0,17107.020091098297,4668.822018926161
41.0,17107.0190664932,4668.821751053393
42.0,17107.018090813537,4668.8214959717025
43.0,17107.017160637777,4668.821252786562
44.0,17107.016272856115,4668.821020684957
45.0,17107.015424635778,4668.82079892628
46.0,17107.01461339082,4668.82058683445
47.0,17107.01383675576,4668.820383791051
48.0,17107.013092562738,4668.820189229309
49.0,17107.01237882116,4668.82000262879
50.0,17107.011693699944,4668.819823510798
51.0,17107.011035512034,4668.81965143424
52.0,17107.010402700223,4668.819485992019
53.0,17107.009793825117,4668.819326807829
54.0,17107.009207554252,4668.819173533285
55.0,17107.008642652097,4668.81902584538
56.0,17107.008097971593,4668.81888344423
57.0,17107.007572446328,4668.81874605103
58.0,17107.007065083595,4668.818613406235
59.0,17107.00657495804,4668.818485267932
60.0,17107.006101206156,4668.818361410361
61.0,17107.005643021083,4668.818241622587
62.0,17107.005199648243,4668.818125707317
63.0,17107.0047703809,4668.818013479799
64.0,17107.00435455668,4668.81790476685
65.0,17107.003951554016,4668.817799405961
66.0,17107.003560788937,4668.8176972444835
67.0,17107.003181712666,4668.817598138905
68.0,17107.00281380848,4668.817501954164
69.0,17107.002456589795,4668.817408563043
70.0,17107.002109597877,4668.81731784561
71.0,17107.001772399857,4668.8172296886905
